total_hw;total_ap;hw_ap;total_al;hw_al;total_cl;hw_cl;total_cp;hw_cp;total_suami;hw_suami;total_istri;hw_istri;total_ayah;hw_ayah;total_ibu;hw_ibu;total_kakek;hw_kakek;total_nenek;hw_nenek;total_si;hw_si;total_sdlk;hw_sdlk;total_sdpk;hw_sdpk
150000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150000000;0;0;1;150000000;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
150000000;0;0;2;150000000;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
150000000;0;0;3;150000000;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
150000000;1;150000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150000000;1;50000000;1;100000000;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
150000000;1;30000000;2;120000000;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0
150000000;1;21428571;3;128571429;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0
150000000;2;150000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150000000;2;75000000;1;75000000;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0
150000000;2;50000000;2;100000000;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0
150000000;2;37500000;3;112500000;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
150000000;3;150000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150000000;3;90000000;1;60000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0
150000000;3;64285714;2;85714286;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150000000;3;50000000;3;100000000;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
250000000;0;0;0;0;0;0;0;0;0;0;1;62500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250000000;0;0;1;218750000;2;0;0;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;1;0;0;0
250000000;0;0;2;218750000;2;0;0;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;0;0;3;0
250000000;0;0;3;218750000;1;0;2;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;3;0;2;0
